profile,company,logo_url,start_date,apply_by,job_type,duration,stipend,location
Online Content Security,Internshala Trainings,https://internshala.comlogo_url,Immediately,1 Oct' 20,Internship with job offer,6 Months, 20000 /month,Gurgaon
Software Project Management,IIT Bombay,https://internshala.comlogo_url,Immediately,30 Sep' 20,Internship,6 Months, 2000-4000 /month,Mumbai
Business Development (Sales),UrbanClap Technologies India Private Limited,https://internshala.comlogo_url,Immediately,10 Oct' 20,Internship,4 Months, 8000-15000 /month,Hyderabad
Marketing,BYJU'S - The Learning App,no logo,Immediately,10 Oct' 20,Internship,2 Months, 15000 /month,Mangalore
Web Application (PHP Intern),The Energy And Resources Institute,https://internshala.comlogo_url,Immediately,9 Oct' 20,Internship,6 Months, 5000 /month,Delhi
Volunteering,Teach For India,no logo,Immediately,9 Oct' 20,Internship,1 Month,Unpaid,Mumbai
MIS Management,HCL TSS,no logo,Immediately,9 Oct' 20,Internship,3 Months, 3500-6000 /month,Work From Home
Graphic Design,WWF-India,https://internshala.comlogo_url,Immediately,8 Oct' 20,Internship,2 Months,Unpaid,Delhi
Law/ Legal,Xiaomi Technology India Private Limited,https://internshala.comlogo_url,not mentioned,9 Oct' 20,Internship,1 Month, 15000 /month,Bangalore
Store Fashion Consulting,Reliance Brands Limited,https://internshala.comlogo_url,Immediately,9 Oct' 20,Internship,4 Months, 12000 /month,Chennai
Human Resources (HR),L&T Financial Services,no logo,Immediately,9 Oct' 20,Internship,3 Months, 5000 /month,Navi Mumbai
Marketing,Internshala,https://internshala.comlogo_url,Immediately,9 Oct' 20,Internship with job offer,6 Months, 20000 /month,Gurgaon
Social Media Marketing,9X Media Private Limited,no logo,Immediately,9 Oct' 20,Internship,3 Months, 5000 /month,Work From Home
Content Executive - Data Handling,EazyDiner,https://internshala.comlogo_url,Immediately,9 Oct' 20,Internship,3 Months, 5000 /month,Work From Home
Sales,Dyson Technology India Private Limited,no logo,Immediately,9 Oct' 20,Internship with job offer,2 Months, 28000 /month +  Incentives,Delhi
Business Development (Sales),Bharti Airtel Limited,https://internshala.comlogo_url,Immediately,9 Oct' 20,Internship,3 Months, 2000 /month,Delhi
Business Development (Sales),Tata Teleservices Limited,no logo,Immediately,9 Oct' 20,Internship,3 Months, 2000 /month,Noida
Human Resources (HR),HCL Technologies,no logo,Immediately,9 Oct' 20,Internship,3 Months, 3500 /month,Madurai
Marketing,BYJU'S The Learning App,no logo,Immediately,8 Oct' 20,Internship,2 Months, 15000 /month,Kadapa
Marketing,BYJU'S The Learning App,no logo,Immediately,8 Oct' 20,Internship,2 Months, 15000 /month,Anantapur
Marketing,BYJU'S The Learning App,no logo,Immediately,8 Oct' 20,Internship,2 Months, 15000 /month,Nellore
Marketing,BYJU'S The Learning App,no logo,Immediately,8 Oct' 20,Internship,2 Months, 15000 /month,Prakasam
Marketing,BYJU'S The Learning App,no logo,Immediately,8 Oct' 20,Internship,2 Months, 15000 /month,Chittoor
Marketing,BYJU'S The Learning App,no logo,Immediately,8 Oct' 20,Internship,2 Months, 15000 /month,Vizianagaram
Marketing,BYJU'S The Learning App,no logo,Immediately,8 Oct' 20,Internship,2 Months, 15000 /month,Anakapalle
Marketing,BYJU'S The Learning App,no logo,Immediately,8 Oct' 20,Internship,2 Months, 15000 /month,Srikakulam
Marketing,BYJU'S The Learning App,no logo,Immediately,8 Oct' 20,Internship,2 Months, 15000 /month,Khammam
Marketing,BYJU'S The Learning App,no logo,Immediately,8 Oct' 20,Internship,2 Months, 15000 /month,Suryapet
Marketing,BYJU'S The Learning App,no logo,Immediately,8 Oct' 20,Internship,2 Months, 15000 /month,Mahbubnagar
Marketing,BYJU'S The Learning App,no logo,Immediately,8 Oct' 20,Internship,2 Months, 15000 /month,Nizamabad
Marketing,BYJU'S The Learning App,no logo,Immediately,8 Oct' 20,Internship,2 Months, 15000 /month,Adilabad
Customer Interaction &  Sales,Decathlon Sports India,no logo,Immediately,8 Oct' 20,Internship with job offer,2 Months, 5000-8000 /month,Delhi
Human Resources (HR),HCL Technologies,no logo,Immediately,8 Oct' 20,Internship,3 Months, 3000-6000 /month,Work From Home
Community Manager,Internshala,https://internshala.comlogo_url,Immediately,8 Oct' 20,Internship,6 Months, 20000 /month,Gurgaon
Business Development (Sales),UrbanClap Technologies India Private Limited,https://internshala.comlogo_url,Immediately,8 Oct' 20,Internship,2 Months, 5000 /month,Work From Home
Marketing,BYJU'S The Learning App,no logo,Immediately,8 Oct' 20,Internship,1 Month, 20000 /month,Jabalpur
Store Fashion Consulting,Reliance Brands Limited,https://internshala.comlogo_url,Immediately,8 Oct' 20,Internship with job offer,6 Months, 16000 /month,Bangalore
Business Development (Sales),Zoomcar India Private Limited,no logo,Immediately,8 Oct' 20,Internship,2 Months, 2000-5000 /month,Work From Home
Human Resources (HR),Mahindra Logistics Limited,no logo,Immediately,8 Oct' 20,Internship,2 Months, 10000 /month,Mumbai
Marketing,BYJU'S The Learning App,no logo,Immediately,8 Oct' 20,Internship,1 Month, 20000 /month,Raipur
Online Content Security,Internshala Trainings,https://internshala.comlogo_url,Immediately,1 Oct' 20,Internship with job offer,6 Months, 20000 /month,Gurgaon
Software Project Management,IIT Bombay,https://internshala.comlogo_url,Immediately,30 Sep' 20,Internship,6 Months, 2000-4000 /month,Mumbai
Business Development (Sales),UrbanClap Technologies India Private Limited,https://internshala.comlogo_url,Immediately,10 Oct' 20,Internship,4 Months, 8000-15000 /month,Hyderabad
Marketing,BYJU'S - The Learning App,no logo,Immediately,10 Oct' 20,Internship,2 Months, 15000 /month,Mangalore
Web Application (PHP Intern),The Energy And Resources Institute,https://internshala.comlogo_url,Immediately,9 Oct' 20,Internship,6 Months, 5000 /month,Delhi
Volunteering,Teach For India,no logo,Immediately,9 Oct' 20,Internship,1 Month,Unpaid,Mumbai
MIS Management,HCL TSS,no logo,Immediately,9 Oct' 20,Internship,3 Months, 3500-6000 /month,Work From Home
Graphic Design,WWF-India,https://internshala.comlogo_url,Immediately,8 Oct' 20,Internship,2 Months,Unpaid,Delhi
Law/ Legal,Xiaomi Technology India Private Limited,https://internshala.comlogo_url,not mentioned,9 Oct' 20,Internship,1 Month, 15000 /month,Bangalore
